Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Dominican Republic,27,10866667,225,2020-09-21,108783.0,452188.0,2.0,1.6,0.756,1.6,55.182,North America,0.8,2054.0,0.084,0.01888162672476398,2.0,6569000,2020-03-02,18.735693,-70.162651,2020-03-17,Full,17748.18532,,91.8
Ecuador,28,17688599,71,2020-11-12,177513.0,534503.0,2.4,3.6,0.759,1.5,80.635,South America,0.88,12946.0,0.17,0.07292986992501957,2.0,2535000,2020-03-02,-1.831239,-78.183406,2020-03-24,Partial,11734.38739,6.82,94.5
El Salvador,29,6491923,313,2021-04-02,65030.0,846843.0,7.7,2.2,0.673,1.3,90.65,North America,0.95,2017.0,0.018,0.031016453944333385,2.0,1677300,2020-03-20,13.794185,-88.89653,2020-03-12,Full,8331.804142,6.89,88.4
Estonia,30,1326693,31,2020-12-03,13469.0,501581.0,4.8,0.5,0.892,4.69,,Europe,0.61,123.0,0.01,0.009132081075061253,3.0,3234000,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Eswatini,31,1162233,67,2021-01-11,11711.0,,,,0.611,2.1,24.097,Africa,0.17,298.0,,0.025446161728289642,,782000,2020-03-15,-26.5179414,31.4659,2020-03-27,Partial,10637.84173,6.4,
Finland,32,5542237,18,2021-02-25,55687.0,3323341.0,29.5,,0.938,3.28,,Europe,0.81,740.0,0.005,0.01328855926877009,3.0,3224000,2020-01-30,61.92411,25.748151,2020-03-27,Full,48416.93603,8.53,
France,33,65298930,119,2020-10-04,660372.0,,6.3,,0.901,5.98,,Europe,0.61,32228.0,0.009,0.0488027959998304,4.0,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Gabon,34,2234448,9,2021-04-23,22433.0,867881.0,,3.4,0.703,6.3,,Africa,0.9,138.0,,0.006151651584718941,2.0,14000,2020-03-15,-0.803689,11.609444,2020-04-13,Partial,17875.76115,5.99,83.2
Georgia,35,3987805,57,2020-11-01,40727.0,3443000.0,15.0,4.2,0.812,2.6,,Asia,0.66,335.0,0.02,0.008225501510054755,3.0,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,36,83830972,240,2020-11-17,843757.0,28115750.0,6.5,,0.947,8.0,,Europe,0.51,13138.0,0.014,0.015570833782712321,3.0,38881000,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Greece,37,10413936,81,2020-11-29,104227.0,2575388.0,14.0,1.5,0.888,4.21,,Europe,0.59,2321.0,0.012,0.02226870196782024,3.0,30123000,2020-02-27,39.074208,21.824312,2020-03-18,Full,29592.15242,7.33,97.7
